Date,Open,High,Low,Close,Volume,Adj Close
1993-07-19,24.25,24.46,23.82,23.82,30800,16.41
1993-07-16,24.25,24.68,23.82,24.14,38600,16.63
1993-07-15,24.46,24.68,24.25,24.25,20200,16.70
1993-07-14,25.31,25.31,24.25,24.68,22600,17.00
1993-07-13,24.25,26.16,24.25,25.31,94100,17.44
1993-07-12,22.97,24.57,22.76,24.57,41100,16.92
1993-07-09,22.76,22.97,22.55,22.76,32300,15.68
1993-07-08,22.34,22.76,22.34,22.65,68200,15.61
1993-07-07,22.76,22.76,22.34,22.34,34100,15.39
1993-07-06,22.97,22.97,22.34,22.34,33900,15.39
1993-07-02,22.76,23.40,22.34,22.55,61600,15.53
1993-07-01,20.42,23.61,20.21,23.61,161700,16.27
1993-06-30,19.78,20.63,19.78,20.42,18300,14.07
1993-06-29,19.57,20.21,19.57,20.21,44900,13.92
1993-06-28,19.57,20.00,19.57,20.00,5600,13.77
1993-06-25,19.68,20.00,19.57,19.57,18400,13.48
1993-06-24,19.57,19.78,19.57,19.57,2900,13.48
1993-06-23,20.00,20.00,19.57,20.00,9800,13.77
1993-06-22,19.57,20.00,19.14,20.00,21300,13.77
1993-06-21,19.57,19.57,19.14,19.57,3500,13.48
1993-06-18,18.93,19.57,18.93,19.57,57200,13.48
1993-06-17,19.14,19.36,18.72,18.93,26200,13.04
1993-06-16,19.14,19.14,18.72,19.04,35100,13.11
1993-06-15,19.14,19.14,18.93,19.14,15500,13.19
1993-06-14,19.14,19.14,18.72,18.72,9500,12.90
1993-06-11,18.72,19.14,18.72,19.14,10700,13.19
1993-06-10,18.08,18.72,18.08,18.08,13900,12.46
1993-06-09,18.08,18.51,18.08,18.08,41500,12.46
1993-06-08,18.08,18.61,18.08,18.08,9800,12.46
1993-06-07,18.51,18.72,18.29,18.61,23500,12.82
1993-06-04,19.14,19.14,18.29,18.93,1600,13.04
1993-06-03,18.51,19.14,18.29,18.29,9500,12.60
1993-06-02,18.29,18.93,18.29,18.93,3000,13.04
1993-06-01,18.72,18.93,18.29,18.93,17700,13.04
1993-05-28,18.93,19.14,18.29,18.72,82500,12.90
1993-05-27,19.57,19.57,18.93,19.04,6800,13.11
1993-05-26,18.93,19.57,18.93,19.14,4900,13.19
1993-05-25,19.36,19.57,18.93,18.93,13200,13.04
1993-05-24,18.72,19.36,18.72,18.72,5400,12.90
1993-05-21,18.51,19.14,18.08,19.14,51700,13.19
1993-05-20,17.69,18.32,17.69,18.32,26800,12.47
1993-05-19,18.11,18.11,17.69,17.69,5600,12.04
1993-05-18,17.48,18.11,17.27,17.69,20200,12.04
1993-05-17,17.27,17.69,17.27,17.27,3400,11.75
1993-05-14,17.69,17.69,17.27,17.69,1500,12.04
1993-05-13,17.27,17.69,17.27,17.37,17100,11.82
1993-05-12,17.06,17.69,16.63,17.27,22900,11.75
1993-05-11,17.06,17.06,16.42,16.42,3200,11.18
1993-05-10,16.63,17.06,16.21,16.63,12800,11.32
1993-05-07,16.21,16.63,16.21,16.63,10600,11.32
1993-05-06,16.42,16.42,15.79,16.42,7300,11.18
1993-05-05,16.00,16.42,15.58,15.79,12200,10.75
1993-05-04,15.90,16.00,15.58,16.00,11500,10.89
1993-05-03,16.00,16.00,15.58,15.58,900,10.60
1993-04-30,15.69,16.00,15.58,16.00,30500,10.89
1993-04-29,15.79,15.79,15.37,15.58,11700,10.60
1993-04-28,15.79,15.79,15.37,15.37,9900,10.46
1993-04-27,15.37,15.79,15.37,15.37,12800,10.46
1993-04-26,15.58,16.00,14.95,15.37,40600,10.46
1993-04-23,15.16,15.58,15.16,15.37,15400,10.46
1993-04-22,15.16,15.79,15.16,15.16,2600,10.32
1993-04-21,15.79,15.79,15.16,15.79,1600,10.75
1993-04-20,15.79,15.79,15.16,15.79,2700,10.75
1993-04-19,15.16,15.79,15.16,15.16,2200,10.32
1993-04-16,15.79,15.79,15.16,15.16,1300,10.32
1993-04-15,15.16,15.79,15.16,15.79,5400,10.75
1993-04-14,15.16,15.79,15.16,15.48,3100,10.53
1993-04-13,15.79,15.79,15.16,15.16,1300,10.32
1993-04-12,15.16,15.79,15.16,15.79,600,10.75
1993-04-08,14.95,15.79,14.95,15.79,900,10.75
1993-04-07,15.79,15.79,15.16,15.16,6600,10.32
1993-04-06,16.21,16.42,15.79,15.79,27000,10.75
1993-04-05,16.21,16.63,15.79,16.63,22100,11.32
1993-04-02,16.21,16.21,16.21,16.21,500,11.03
1993-04-01,16.85,16.85,16.32,16.85,2100,11.46
1993-03-31,16.21,16.85,16.21,16.21,3800,11.03
1993-03-30,16.85,16.85,16.21,16.21,400,11.03
1993-03-29,16.21,16.85,16.21,16.85,2200,11.46
1993-03-26,16.85,16.85,16.21,16.21,2000,11.03
1993-03-25,16.85,16.85,16.21,16.42,15400,11.18
1993-03-24,16.63,16.85,16.21,16.85,2700,11.46
1993-03-23,16.53,16.85,16.53,16.85,1500,11.46
1993-03-22,16.85,16.85,16.21,16.21,400,11.03
1993-03-19,16.85,16.85,16.21,16.21,2000,11.03
1993-03-18,16.85,16.85,16.21,16.21,2900,11.03
1993-03-17,16.85,16.85,16.85,16.85,300,11.46
1993-03-16,16.42,16.85,16.42,16.42,9600,11.18
1993-03-15,16.42,16.85,16.21,16.63,18100,11.32
